date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:46	747/747	---MCZ	200	added ('OK')	text/plain	etag:W/%225e9c9ce4-8ac%22	https://www.programiz.com/robots.txt		(from )
13:40:46	15950/15950	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20May%202021%2006:40:45%20GMT	https://www.programiz.com/java-programming/online-compiler/	D:/COPY/compiler/www.programiz.com/java-programming/online-compiler/index.html	(from )
13:40:47	1137/1137	---MC-	200	added ('OK')	image/png	date:Tue,%2025%20May%202021%2001:20:26%20GMT	https://cdn.programiz.com/sites/tutorial2program/files/programiz-favicon_3.png	D:/COPY/compiler/cdn.programiz.com/sites/tutorial2program/files/programiz-favicon_3.png	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:48	1778/1778	---MCZ	200	added ('OK')	application/javascript	etag:W/%2285d918fcdb3aa9aad25680b956aac992%22	https://cmp.uniconsent.com/v2/stub.min.js	D:/COPY/compiler/cmp.uniconsent.com/v2/stub.min.js	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:49	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20May%202021%2006:40:48%20GMT	http://dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.js	D:/COPY/compiler/dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.3.delayed	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:49	2385/2385	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280961aa78921d99842a4cab06dec790b%22	https://cmp.uniconsent.com/v2/a8d3ae4937/cmp.js	D:/COPY/compiler/cmp.uniconsent.com/v2/a8d3ae4937/cmp.js	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:49	1297/1297	---MCZ	200	added ('OK')	application/javascript	etag:W/%22db193f3ecc5c0498b5f3a57e19c5ef57%22	https://dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.js	D:/COPY/compiler/dsh7ky7308k4b.cloudfront.net/publishers/Programizcomnew.min.js	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:50	136585/136585	---MC-	200	added ('OK')	text/javascript	date:Thu,%2027%20May%202021%2006:40:48%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/COPY/compiler/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:52	15937/15937	---MCZ	200	added ('OK')	application/javascript	etag:W/%223e41-5ba840b756246%22	http://cdn.carbonads.com/carbon.js?serve=CKYDL27L&placement=wwwprogramizcom	D:/COPY/compiler/cdn.carbonads.com/carbon0a0e.js	(from https://www.programiz.com/java-programming/online-compiler/)
13:40:53	19014/19014	---MCZ	200	added ('OK')	text/css	etag:W/%2260532713-4a46%22	https://www.programiz.com/java-programming/online-compiler/playground.css?v=1fsaf	D:/COPY/compiler/www.programiz.com/java-programming/online-compiler/playground8dc9.css	(from https://www.programiz.com/java-programming/online-compiler/)
